tokens per iteration will be: 5,242,880
Resuming training from out
number of parameters: 52.75M
num decayed parameter tensors: 38, with 53,264,384 parameters
num non-decayed parameter tensors: 21, with 10,320 parameters
using fused AdamW: True
compiling the model... (takes a ~minute)
wandb: Currently logged in as: gabrielclark3330 (gabrielclark). Use `wandb login --relogin` to force relogin
wandb: wandb version 0.17.2 is available!  To upgrade, please run:
wandb:  $ pip install wandb --upgrade
wandb: Tracking run with wandb version 0.17.1
wandb: Run data is saved locally in /home/gabriel/Documents/projects/audio-decoder-only-interactive-model/nanoGPT-master/wandb/run-20240620_013805-corflaa8
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run gpt2Audio
wandb: ⭐️ View project at https://wandb.ai/gabrielclark/owt
wandb: 🚀 View run at https://wandb.ai/gabrielclark/owt/runs/corflaa8
step 100: train loss 0.4909, val loss 0.5069
iter 298: loss 0.4126, time 10917.54ms, mfu 56.50%
iter 299: loss 0.4001, time 10911.70ms, mfu 56.50%
step 300: train loss 0.4068, val loss 0.4215
saving checkpoint to out
iter 300: loss 0.3978, time 114291.38ms, mfu 51.39%
iter 301: loss 0.4020, time 10888.15ms, mfu 51.91%
iter 302: loss 0.4107, time 10903.90ms, mfu 52.37%
iter 303: loss 0.4133, time 10899.95ms, mfu 52.79%
iter 304: loss 0.4021, time 10897.03ms, mfu 53.17%
iter 305: loss 0.3978, time 10901.86ms, mfu 53.51%
iter 306: loss 0.4140, time 10900.38ms, mfu 53.81%
iter 307: loss 0.3867, time 10894.42ms, mfu 54.09%
iter 308: loss 0.3962, time 10907.01ms, mfu 54.33%
iter 309: loss 0.3996, time 10912.10ms, mfu 54.55%
iter 310: loss 0.3871, time 10911.76ms, mfu 54.74%
iter 311: loss 0.4072, time 10902.98ms, mfu 54.92%
iter 312: loss 0.4113, time 10906.56ms, mfu 55.08%
iter 313: loss 0.4030, time 10907.42ms, mfu 55.22%
iter 314: loss 0.4058, time 10911.47ms, mfu 55.35%
iter 315: loss 0.3796, time 10900.43ms, mfu 55.47%
iter 316: loss 0.4004, time 10910.66ms, mfu 55.57%
iter 317: loss 0.3971, time 10904.76ms, mfu 55.67%
iter 318: loss 0.4078, time 10916.63ms, mfu 55.75%
iter 319: loss 0.4054, time 10912.69ms, mfu 55.82%
iter 320: loss 0.3851, time 10902.23ms, mfu 55.89%
iter 321: loss 0.4118, time 10914.09ms, mfu 55.95%
iter 322: loss 0.4053, time 10908.86ms, mfu 56.01%
iter 323: loss 0.4022, time 10902.22ms, mfu 56.06%
iter 324: loss 0.4046, time 10921.43ms, mfu 56.10%
iter 325: loss 0.4085, time 10906.45ms, mfu 56.14%
iter 326: loss 0.3941, time 10917.15ms, mfu 56.17%
iter 327: loss 0.3936, time 10909.93ms, mfu 56.21%
iter 328: loss 0.4071, time 10913.13ms, mfu 56.23%
iter 329: loss 0.3908, time 10902.75ms, mfu 56.27%
iter 330: loss 0.4053, time 10914.16ms, mfu 56.29%
iter 331: loss 0.4088, time 10907.20ms, mfu 56.31%
iter 332: loss 0.4014, time 10908.53ms, mfu 56.33%
iter 333: loss 0.3961, time 10900.61ms, mfu 56.35%
iter 334: loss 0.3913, time 10908.54ms, mfu 56.37%
iter 335: loss 0.3903, time 10908.49ms, mfu 56.38%
iter 336: loss 0.4137, time 10903.62ms, mfu 56.40%
iter 337: loss 0.3994, time 10912.75ms, mfu 56.41%
iter 338: loss 0.3978, time 10906.91ms, mfu 56.42%
iter 339: loss 0.4006, time 10906.36ms, mfu 56.43%
iter 340: loss 0.3858, time 10892.86ms, mfu 56.44%
iter 341: loss 0.3968, time 10908.72ms, mfu 56.45%
iter 342: loss 0.4029, time 10894.30ms, mfu 56.46%
iter 343: loss 0.4087, time 10906.56ms, mfu 56.47%
iter 344: loss 0.4022, time 10915.38ms, mfu 56.47%
iter 345: loss 0.3982, time 10907.13ms, mfu 56.47%
iter 346: loss 0.4086, time 10911.00ms, mfu 56.48%
iter 347: loss 0.3915, time 10901.09ms, mfu 56.48%
iter 348: loss 0.3824, time 10901.47ms, mfu 56.49%
iter 349: loss 0.3999, time 10909.02ms, mfu 56.49%
iter 350: loss 0.4037, time 10911.32ms, mfu 56.49%
iter 351: loss 0.4023, time 10914.62ms, mfu 56.49%
iter 352: loss 0.3848, time 10907.00ms, mfu 56.49%
iter 353: loss 0.4138, time 10914.46ms, mfu 56.49%
iter 354: loss 0.4071, time 10916.84ms, mfu 56.49%
iter 355: loss 0.3978, time 10900.92ms, mfu 56.49%
iter 356: loss 0.4043, time 10919.71ms, mfu 56.49%
iter 357: loss 0.3983, time 10889.70ms, mfu 56.50%
iter 358: loss 0.4036, time 10904.96ms, mfu 56.50%
iter 359: loss 0.3933, time 10905.76ms, mfu 56.51%
iter 360: loss 0.3680, time 10917.55ms, mfu 56.50%
iter 361: loss 0.3866, time 10911.05ms, mfu 56.50%
iter 362: loss 0.4019, time 10917.89ms, mfu 56.50%
iter 363: loss 0.4030, time 10897.56ms, mfu 56.50%
iter 364: loss 0.3780, time 10909.64ms, mfu 56.50%
iter 365: loss 0.4173, time 10914.58ms, mfu 56.50%
iter 366: loss 0.3975, time 10906.11ms, mfu 56.50%
